ID,MAE,RMSE,PI95,PI90,PI85,PI80,PI75,PI70,PI65,PI60,PI55,PI50
Temperature_sensor,,,,,,,,,,,,
029A_co2_sensor,10.015617852202535,27.771407611160598,0.9990079365079365,0.9985119047619048,0.9985119047619048,0.9985119047619048,0.998015873015873,0.9965277777777778,0.9871031746031746,0.9662698412698413,0.9320436507936508,0.8859126984126984
031A_co2_sensor,33.119045328441906,72.36020715042757,0.9573412698412699,0.9469246031746031,0.9290674603174603,0.9092261904761905,0.8963293650793651,0.8779761904761905,0.8611111111111112,0.8467261904761905,0.8338293650793651,0.8229166666666666
033A_co2_sensor,19.58275010670975,41.365417818838665,0.9920634920634921,0.9791666666666666,0.966765873015873,0.9548611111111112,0.9340277777777778,0.8923611111111112,0.8373015873015873,0.7624007936507936,0.6840277777777778,0.5972222222222222
035A_co2_sensor,132.5616855161863,178.22771916857025,0.7242063492063492,0.6527777777777778,0.5753968253968254,0.5277777777777778,0.49702380952380953,0.4568452380952381,0.4255952380952381,0.3898809523809524,0.3541666666666667,0.3253968253968254
Valve_Position_sensor,,,,,,,,,,,,
007A_valve_position_sensor,0.029221009848884243,0.07276433873176816,0.4503968253968254,0.4503968253968254,0.4503968253968254,0.4503968253968254,0.4503968253968254,0.4503968253968254,0.4503968253968254,0.4503968253968254,0.4503968253968254,0.4503968253968254
011A_valve_position_sensor,0.12325393110545446,0.25216098156118993,0.8020833333333334,0.7862103174603174,0.7762896825396826,0.7653769841269841,0.7579365079365079,0.7524801587301587,0.75,0.7415674603174603,0.7380952380952381,0.7321428571428571
012A_valve_position_sensor,0.004146358900916625,0.02673317199780544,0.9975198412698413,0.9975198412698413,0.9975198412698413,0.9975198412698413,0.9975198412698413,0.9975198412698413,0.9975198412698413,0.9975198412698413,0.9975198412698413,0.9975198412698413
013A_valve_position_sensor,0.12171447542239239,0.26015133509862165,0.7936507936507936,0.785218253968254,0.7797619047619048,0.7752976190476191,0.7713293650793651,0.7633928571428571,0.7609126984126984,0.7559523809523809,0.75,0.7475198412698413
015A_valve_position_sensor,0.13028724664936225,0.21187538147303295,0.847718253968254,0.7782738095238095,0.7366071428571429,0.7078373015873016,0.6884920634920635,0.6636904761904762,0.6374007936507936,0.6140873015873016,0.5863095238095238,0.5615079365079365
020A_valve_position_sensor,0.00849911841212106,0.043600684119125384,0.9523809523809523,0.9513888888888888,0.9513888888888888,0.9494047619047619,0.9429563492063492,0.9226190476190477,0.9087301587301587,0.904265873015873,0.9027777777777778,0.8933531746031746
020B_valve_position_sensor,0.10691574181393823,0.15272435830800415,0.9384920634920635,0.9117063492063492,0.8898809523809523,0.8705357142857143,0.8313492063492064,0.7410714285714286,0.6220238095238095,0.5381944444444444,0.4990079365079365,0.4871031746031746
029A_valve_position_sensor,0.02687217258195285,0.09696159810203184,0.9806547619047619,0.9751984126984127,0.9737103174603174,0.9722222222222222,0.9692460317460317,0.9672619047619048,0.9662698412698413,0.9632936507936508,0.9578373015873016,0.9543650793650794
031A_valve_position_sensor,0.0010072326875528454,0.002145576047151854,0.5456349206349206,0.5456349206349206,0.5456349206349206,0.5456349206349206,0.5456349206349206,0.5456349206349206,0.5456349206349206,0.5456349206349206,0.5456349206349206,0.5456349206349206
033A_valve_position_sensor,0.035925434658138106,0.1111996919878442,0.939484126984127,0.933531746031746,0.9280753968253969,0.9241071428571429,0.9216269841269841,0.9181547619047619,0.9166666666666666,0.9146825396825397,0.9107142857142857,0.9097222222222222
035A_valve_position_sensor,0.08124517581060056,0.17545631795782113,0.9573412698412699,0.9454365079365079,0.9360119047619048,0.9280753968253969,0.9196428571428571,0.9107142857142857,0.904265873015873,0.8918650793650794,0.8784722222222222,0.8655753968253969
Damper_Position_sensor,,,,,,,,,,,,
007A_damper_position_sensor,0.003494836491753937,0.013385537806185925,0.998015873015873,0.998015873015873,0.998015873015873,0.9975198412698413,0.9975198412698413,0.9975198412698413,0.9975198412698413,0.9975198412698413,0.9975198412698413,0.9940476190476191
008A_damper_position_sensor,0.0018531022169518596,0.022313181874896015,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683
