ID,MAE,RMSE,PI95,PI90,PI85,PI80,PI75,PI70,PI65,PI60,PI55,PI50
Temperature_sensor,,,,,,,,,,,,
029A_valve_position_sensor,0.025388842941588705,0.09078136675475225,0.9796626984126984,0.9781746031746031,0.9751984126984127,0.9717261904761905,0.9702380952380952,0.9677579365079365,0.9632936507936508,0.9623015873015873,0.9598214285714286,0.9563492063492064
031A_valve_position_sensor,0.001006881218705919,0.002145573656898483,0.5456349206349206,0.5456349206349206,0.5456349206349206,0.5456349206349206,0.5456349206349206,0.5456349206349206,0.5456349206349206,0.5456349206349206,0.5456349206349206,0.5456349206349206
033A_valve_position_sensor,0.03568004652587983,0.10758428839978715,0.9474206349206349,0.941468253968254,0.9365079365079365,0.9325396825396826,0.9300595238095238,0.9255952380952381,0.9211309523809523,0.9176587301587301,0.9156746031746031,0.9141865079365079
035A_valve_position_sensor,0.08155157444871525,0.17779662805959623,0.9548611111111112,0.9399801587301587,0.9325396825396826,0.9250992063492064,0.9186507936507936,0.9087301587301587,0.8993055555555556,0.8898809523809523,0.8764880952380952,0.8611111111111112
Damper_Position_sensor,,,,,,,,,,,,
007A_damper_position_sensor,0.0036830022043439128,0.013441789707749714,0.998015873015873,0.998015873015873,0.998015873015873,0.998015873015873,0.998015873015873,0.9975198412698413,0.9975198412698413,0.9975198412698413,0.9975198412698413,0.9965277777777778
011A_damper_position_sensor,0.011529314953158835,0.0530105231950344,0.9771825396825397,0.9771825396825397,0.9771825396825397,0.9771825396825397,0.9771825396825397,0.9771825396825397,0.9771825396825397,0.9771825396825397,0.9761904761904762,0.972718253968254
012A_damper_position_sensor,0.0009434709392229871,0.0063950954023954745,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683
013A_damper_position_sensor,0.024232793194303118,0.07746518596624513,0.9399801587301587,0.9399801587301587,0.9399801587301587,0.9399801587301587,0.9399801587301587,0.9399801587301587,0.9399801587301587,0.9399801587301587,0.9399801587301587,0.9389880952380952
015A_damper_position_sensor,0.0020992293118270665,0.022047991197061988,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683
020A_damper_position_sensor,0.08966921138992938,0.16164642003941576,0.970734126984127,0.8253968253968254,0.7490079365079365,0.7435515873015873,0.7425595238095238,0.7425595238095238,0.7425595238095238,0.7425595238095238,0.7420634920634921,0.7420634920634921
